,Date,Price,Open,High,Low,Vol.,Change %
301,"Nov 07, 2018","1,108.12","1,105.46","1,108.12","1,091.91",983.29M,0.57%
302,"Nov 06, 2018","1,101.89","1,107.50","1,113.19","1,101.79",859.27M,-0.02%
303,"Nov 05, 2018","1,102.09","1,099.96","1,103.50","1,097.92",785.46M,-0.69%
304,"Nov 02, 2018","1,109.70","1,104.61","1,114.36","1,101.74",1.22B,0.92%
305,"Nov 01, 2018","1,099.63","1,104.04","1,105.41","1,093.79",1.18B,-0.26%
306,"Oct 31, 2018","1,102.49","1,087.42","1,102.65","1,085.63",994.00M,2.26%
307,"Oct 30, 2018","1,078.15","1,078.67","1,084.03","1,074.89",626.01M,0.07%
308,"Oct 29, 2018","1,077.41","1,073.71","1,084.31","1,072.17",724.38M,0.67%
309,"Oct 26, 2018","1,070.25","1,078.00","1,079.59","1,067.50",778.50M,-1.22%
310,"Oct 25, 2018","1,083.50","1,055.03","1,085.99","1,048.41",1.63B,1.53%
311,"Oct 24, 2018","1,067.15","1,079.90","1,085.50","1,064.51",1.31B,-2.38%
312,"Oct 22, 2018","1,093.15","1,098.45","1,102.09","1,088.66",768.60M,-0.28%
313,"Oct 19, 2018","1,096.19","1,104.06","1,105.52","1,094.13",1.11B,-0.88%
314,"Oct 18, 2018","1,105.93","1,111.43","1,113.87","1,104.14",945.69M,-0.72%
315,"Oct 17, 2018","1,113.98","1,123.35","1,125.15","1,113.98",1.41B,-0.11%
316,"Oct 16, 2018","1,115.21","1,114.96","1,118.47","1,108.29",723.83M,0.05%
317,"Oct 12, 2018","1,114.62","1,111.56","1,117.60","1,109.04",791.29M,0.81%
318,"Oct 11, 2018","1,105.61","1,103.11","1,110.43","1,099.01",1.72B,-2.57%
319,"Oct 10, 2018","1,134.73","1,125.64","1,134.73","1,124.23",920.43M,1.63%
320,"Oct 09, 2018","1,116.48","1,117.32","1,124.44","1,110.95",1.08B,0.13%
321,"Oct 08, 2018","1,115.02","1,130.70","1,137.01","1,115.02",1.41B,-1.42%
322,"Oct 05, 2018","1,131.13","1,135.22","1,140.11","1,129.85",885.42M,-0.61%
323,"Oct 04, 2018","1,138.05","1,143.00","1,146.75","1,132.09",1.55B,-0.85%
324,"Oct 03, 2018","1,147.75","1,154.87","1,157.21","1,147.27",1.34B,-0.28%
325,"Oct 02, 2018","1,150.93","1,158.74","1,162.26","1,149.16",1.20B,-0.89%
326,"Oct 01, 2018","1,161.24","1,163.05","1,164.92","1,159.23",1.05B,0.21%
327,"Sep 28, 2018","1,158.75","1,161.48","1,162.14","1,154.35",1.05B,0.02%
328,"Sep 27, 2018","1,158.54","1,157.19","1,158.54","1,142.80",1.70B,0.25%
329,"Sep 26, 2018","1,155.61","1,159.06","1,161.30","1,152.50",1.15B,-0.05%
330,"Sep 25, 2018","1,156.18","1,158.00","1,160.37","1,152.87",865.90M,0.14%
331,"Sep 24, 2018","1,154.60","1,154.66","1,162.04","1,153.73",1.10B,-0.43%
332,"Sep 21, 2018","1,159.54","1,162.05","1,166.78","1,156.80",1.83B,0.19%
333,"Sep 20, 2018","1,157.31","1,161.64","1,166.12","1,155.87",1.64B,0.17%
334,"Sep 19, 2018","1,155.35","1,155.11","1,165.88","1,153.00",4.01B,0.33%
335,"Sep 18, 2018","1,151.59","1,131.03","1,155.43","1,129.98",2.09B,1.74%
336,"Sep 17, 2018","1,131.92","1,132.31","1,137.40","1,126.31",1.01B,-0.36%
337,"Sep 14, 2018","1,135.98","1,138.42","1,141.17","1,132.12",1.28B,0.22%
338,"Sep 13, 2018","1,133.44","1,111.61","1,138.13","1,111.42",1.72B,2.85%
339,"Sep 12, 2018","1,102.07","1,095.82","1,103.71","1,090.92",1.11B,0.50%
340,"Sep 11, 2018","1,096.63","1,112.48","1,115.91","1,096.63",1.06B,-1.51%
341,"Sep 10, 2018","1,113.47","1,110.12","1,114.39","1,105.08",772.47M,0.09%
342,"Sep 07, 2018","1,112.49","1,111.20","1,117.26","1,108.16",957.79M,-0.37%
343,"Sep 06, 2018","1,116.61","1,110.48","1,116.75","1,104.03",1.91B,0.48%
344,"Sep 05, 2018","1,111.30","1,126.34","1,129.10","1,110.87",1.51B,-1.76%
345,"Sep 04, 2018","1,131.26","1,138.28","1,140.22","1,130.75",1.05B,-0.56%
346,"Sep 03, 2018","1,137.68","1,138.38","1,142.34","1,136.10",906.97M,-0.10%
347,"Aug 31, 2018","1,138.80","1,132.84","1,139.54","1,131.43",1.17B,0.06%
348,"Aug 30, 2018","1,138.12","1,144.90","1,147.31","1,138.12",1.05B,-0.37%
349,"Aug 29, 2018","1,142.30","1,141.67","1,143.11","1,136.38",895.46M,0.26%
350,"Aug 28, 2018","1,139.30","1,143.11","1,146.83","1,137.79",1.22B,0.13%
351,"Aug 27, 2018","1,137.79","1,132.83","1,138.57","1,131.75",1.34B,0.87%
